epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.758,1.43191,2.37556,1.14692,0.00852,0.88664,0.84991,0.51596,1.17161,3.13007,0.99966,0.000468772,0.000468772,0.000468772
2,15843,1.16106,1.12596,0.99837,0.97448,0.87892,0.93035,0.5754,1.19518,1.43143,1.01892,0.000913917,0.000913917,0.000913917
3,52458.7,1.13394,0.9953,0.99242,0.94887,0.92739,0.97169,0.65281,1.03387,1.04618,0.97051,0.00132762,0.00132762,0.00132762
4,52905,1.01636,0.81178,0.94681,0.98541,0.96094,0.9785,0.68336,0.99518,0.78708,0.95373,0.00128753,0.00128753,0.00128753
5,53359.7,1.02339,0.72423,0.94585,0.98649,0.96617,0.98397,0.70009,0.90559,0.68884,0.92171,0.00124037,0.00124037,0.00124037
6,53849.5,0.96649,0.64643,0.93207,0.98051,0.97243,0.98493,0.7191,0.87017,0.63343,0.91375,0.00119322,0.00119322,0.00119322
7,54320.1,0.93655,0.62547,0.93062,0.98513,0.97389,0.98336,0.72676,0.85158,0.55056,0.92077,0.00114606,0.00114606,0.00114606
8,54781,0.93674,0.59628,0.93263,0.98809,0.97311,0.98768,0.74523,0.82781,0.52095,0.9036,0.0010989,0.0010989,0.0010989
9,55240.4,0.92565,0.56781,0.92298,0.98698,0.97669,0.98128,0.7019,0.93073,0.51952,0.92703,0.00105174,0.00105174,0.00105174
10,55690.4,0.87246,0.53132,0.9158,0.98881,0.98448,0.99005,0.73779,0.87477,0.49731,0.91449,0.00100459,0.00100459,0.00100459
11,56147.4,0.88185,0.52407,0.91197,0.98708,0.97783,0.98955,0.74497,0.85141,0.48525,0.90111,0.00095743,0.00095743,0.00095743
12,56582.7,0.85706,0.50529,0.90501,0.98915,0.98093,0.98913,0.75535,0.83524,0.47994,0.90151,0.000910273,0.000910273,0.000910273
13,57037.8,0.82882,0.4891,0.89639,0.99007,0.98157,0.98951,0.77607,0.75476,0.4304,0.87891,0.000863116,0.000863116,0.000863116
14,57474.4,0.81146,0.47025,0.89975,0.98744,0.98198,0.99019,0.7658,0.80207,0.43313,0.88724,0.000815959,0.000815959,0.000815959
15,57937.2,0.80349,0.45565,0.8935,0.99424,0.98444,0.9907,0.78773,0.7385,0.40563,0.87527,0.000768802,0.000768802,0.000768802
16,58377.7,0.80531,0.44596,0.89075,0.99095,0.98197,0.99063,0.77371,0.80122,0.41663,0.88723,0.000721645,0.000721645,0.000721645
17,58799.2,0.80671,0.44536,0.89308,0.9902,0.98448,0.99295,0.79861,0.71844,0.38362,0.87156,0.000674488,0.000674488,0.000674488
18,59226.5,0.79239,0.43916,0.89334,0.99182,0.98474,0.99251,0.80326,0.70004,0.36995,0.86907,0.000627331,0.000627331,0.000627331
19,59943.7,0.76552,0.41724,0.88445,0.99219,0.98623,0.99276,0.80007,0.71856,0.37314,0.86975,0.000580174,0.000580174,0.000580174
20,60739.7,0.72308,0.40101,0.87542,0.99236,0.98682,0.99274,0.8134,0.68644,0.36049,0.86407,0.000533017,0.000533017,0.000533017
21,62096.9,0.73254,0.38758,0.87922,0.99079,0.98059,0.99156,0.80587,0.68198,0.36272,0.86222,0.00048586,0.00048586,0.00048586
22,62559.1,0.71913,0.3861,0.87974,0.99224,0.98085,0.992,0.8126,0.67862,0.35454,0.86225,0.000438703,0.000438703,0.000438703
23,62992.4,0.71187,0.37666,0.87108,0.99208,0.98619,0.99188,0.82349,0.65055,0.33901,0.8556,0.000391546,0.000391546,0.000391546
24,63424.3,0.67922,0.36024,0.86961,0.99064,0.98673,0.9924,0.82699,0.64432,0.33895,0.85379,0.000344389,0.000344389,0.000344389
25,63844.5,0.67622,0.35598,0.86267,0.98917,0.98864,0.99224,0.82678,0.65027,0.33377,0.8529,0.000297232,0.000297232,0.000297232
26,64265.2,0.67549,0.3559,0.86142,0.99104,0.98729,0.99234,0.82825,0.65084,0.33492,0.85192,0.000250075,0.000250075,0.000250075
27,64692.5,0.65741,0.34462,0.85388,0.99102,0.98831,0.99275,0.83919,0.62427,0.32354,0.84701,0.000202918,0.000202918,0.000202918
28,65126,0.64703,0.33867,0.85642,0.9895,0.98646,0.99233,0.842,0.61484,0.31687,0.8441,0.000155761,0.000155761,0.000155761
29,65551,0.63607,0.33076,0.85394,0.99009,0.98842,0.99153,0.84405,0.60832,0.31562,0.843,0.000108604,0.000108604,0.000108604
30,65981.3,0.62683,0.32569,0.85348,0.99063,0.98913,0.99274,0.84727,0.59832,0.30699,0.8417,6.1447e-05,6.1447e-05,6.1447e-05
